,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
0,5.75,250.0,55.0,103.0,23.0,1.0,19.0,64.0,11.0,3.0,42.0,3.0,10.0,17.0,5.0,0.0,3.0,0.412,0.497,0.74,0.163,237.9,-2.04,-2.04,-0.197
1,4.38,284.0,54.0,97.0,20.0,5.0,8.0,47.0,9.0,2.0,45.0,1.0,3.0,27.0,3.0,0.0,4.0,0.342,0.428,0.532,0.084,178.6,-2.74,-2.74,-0.265
2,3.7,277.0,47.0,76.0,18.0,1.0,2.0,25.0,13.0,10.0,53.0,6.0,0.0,26.0,3.0,4.0,5.0,0.274,0.396,0.368,0.019,126.8,4.58,4.58,0.442
3,3.46,214.0,42.0,72.0,15.0,3.0,3.0,27.0,34.0,14.0,42.0,5.0,0.0,33.0,1.0,2.0,1.0,0.336,0.454,0.477,0.081,176.7,-0.08,-0.08,-0.008
4,3.42,270.0,46.0,78.0,16.0,1.0,13.0,51.0,6.0,3.0,46.0,4.0,1.0,27.0,13.0,0.0,1.0,0.289,0.399,0.5,0.051,152.2,-0.11,1.6,0.155
5,3.26,210.0,43.0,65.0,8.0,0.0,13.0,41.0,14.0,4.0,38.0,6.0,6.0,25.0,0.0,0.0,1.0,0.31,0.427,0.533,0.064,161.8,-2.1,-2.1,-0.203
6,3.18,269.0,55.0,89.0,14.0,1.0,22.0,52.0,7.0,2.0,28.0,6.0,4.0,16.0,8.0,0.0,1.0,0.331,0.405,0.636,0.08,175.0,-0.0335615279919901,0.0701937717858834,0.0045203955227773
7,3.12,287.0,52.0,93.0,15.0,1.0,11.0,48.0,21.0,3.0,32.0,4.0,3.0,51.0,4.0,0.0,4.0,0.324,0.394,0.498,0.046,148.6,-0.0257594174476269,0.0750722519428388,0.00504165040595
8,3.1,258.0,48.0,73.0,15.0,1.0,4.0,30.0,14.0,1.0,37.0,3.0,2.0,34.0,3.0,4.0,4.0,0.283,0.374,0.395,0.011,120.5,-0.1,-0.1,-0.01
9,2.98,263.0,38.0,71.0,12.0,3.0,9.0,37.0,2.0,4.0,39.0,1.0,1.0,30.0,3.0,1.0,2.0,0.27,0.364,0.441,0.019,126.9,0.12,-1.06,-0.103
10,2.95,266.0,45.0,82.0,11.0,5.0,3.0,25.0,9.0,5.0,35.0,8.0,0.0,32.0,3.0,7.0,0.0,0.308,0.405,0.421,0.035,138.9,-3.5,-3.5,-0.338
11,2.95,306.0,50.0,92.0,13.0,3.0,19.0,45.0,10.0,5.0,19.0,3.0,1.0,23.0,4.0,2.0,1.0,0.301,0.347,0.549,0.032,137.3,1.65,1.65,0.159
12,2.88,299.0,43.0,85.0,16.0,4.0,4.0,35.0,44.0,12.0,24.0,0.0,0.0,29.0,4.0,2.0,2.0,0.284,0.335,0.405,-0.003,109.2,2.03,2.03,0.196
13,2.81,253.0,39.0,76.0,13.0,0.0,10.0,39.0,6.0,7.0,41.0,4.0,2.0,30.0,6.0,0.0,2.0,0.3,0.403,0.47,0.045,147.4,1.79,1.79,0.173
14,2.74,282.0,48.0,76.0,12.0,1.0,11.0,36.0,53.0,17.0,42.0,3.0,1.0,18.0,4.0,1.0,2.0,0.27,0.368,0.436,0.016,124.7,2.05,2.05,0.198
15,2.62,277.0,51.0,76.0,15.0,2.0,11.0,49.0,15.0,7.0,49.0,2.0,1.0,30.0,4.0,0.0,5.0,0.274,0.381,0.462,0.032,137.5,1.82,1.82,0.176
16,2.23,206.0,41.0,60.0,11.0,2.0,3.0,22.0,27.0,3.0,32.0,1.0,1.0,27.0,3.0,3.0,0.0,0.291,0.389,0.408,0.028,134.0,-0.08,-0.08,-0.007
17,2.19,293.0,40.0,98.0,21.0,3.0,4.0,54.0,14.0,8.0,20.0,3.0,8.0,17.0,2.0,1.0,3.0,0.334,0.379,0.468,0.03,135.0,-2.24,-2.24,-0.216
18,1.99,282.0,46.0,73.0,9.0,1.0,1.0,12.0,32.0,10.0,31.0,3.0,0.0,20.0,3.0,5.0,2.0,0.259,0.336,0.309,-0.032,86.4,1.68,1.68,0.162
19,1.75,318.0,48.0,97.0,17.0,4.0,13.0,69.0,10.0,5.0,9.0,8.0,0.0,55.0,7.0,0.0,5.0,0.305,0.335,0.506,0.011,121.1,2.71,2.71,0.262
20,1.62,192.0,33.0,51.0,13.0,1.0,5.0,28.0,4.0,3.0,24.0,2.0,0.0,27.0,1.0,6.0,3.0,0.266,0.348,0.422,0.005,115.3,-0.07,-0.07,-0.007
21,1.6,146.0,31.0,42.0,9.0,1.0,5.0,26.0,4.0,2.0,28.0,1.0,0.0,17.0,5.0,3.0,1.0,0.288,0.403,0.466,0.05,151.1,0.0049668635768536,0.0461095159792175,0.0035358093515096
22,1.52,215.0,23.0,60.0,16.0,0.0,6.0,24.0,4.0,2.0,17.0,1.0,0.0,21.0,4.0,2.0,2.0,0.279,0.332,0.437,0.002,113.3,1.36,1.36,0.131
23,1.5,243.0,46.0,76.0,16.0,3.0,5.0,36.0,17.0,6.0,12.0,7.0,0.0,16.0,6.0,4.0,5.0,0.313,0.356,0.465,0.014,122.6,-2.79,-2.79,-0.269
24,1.33,258.0,28.0,75.0,12.0,0.0,10.0,43.0,7.0,2.0,17.0,3.0,2.0,27.0,7.0,1.0,7.0,0.291,0.333,0.453,-0.004,108.6,2.57,2.57,0.248
25,1.32,235.0,30.0,54.0,9.0,0.0,5.0,27.0,7.0,2.0,25.0,0.0,0.0,10.0,2.0,3.0,0.0,0.23,0.304,0.332,-0.044,77.3,-0.09,-0.09,-0.008
26,1.19,232.0,33.0,66.0,7.0,0.0,11.0,38.0,4.0,1.0,25.0,3.0,2.0,19.0,12.0,0.0,3.0,0.284,0.357,0.457,0.01,119.9,1.57,1.57,0.151
27,1.19,273.0,38.0,75.0,15.0,1.0,7.0,40.0,16.0,4.0,18.0,8.0,0.0,26.0,8.0,3.0,2.0,0.275,0.336,0.414,-0.013,101.9,2.94,2.94,0.284
28,1.16,207.0,22.0,52.0,8.0,0.0,2.0,19.0,7.0,3.0,19.0,2.0,0.0,34.0,3.0,3.0,1.0,0.251,0.319,0.319,-0.04,80.1,0.47,1.3,0.126
29,1.13,171.0,24.0,49.0,6.0,1.0,11.0,38.0,0.0,2.0,17.0,4.0,1.0,28.0,7.0,2.0,4.0,0.287,0.357,0.526,0.023,129.9,2.62,2.62,0.253
30,1.13,168.0,29.0,53.0,10.0,0.0,5.0,23.0,2.0,3.0,19.0,0.0,1.0,29.0,6.0,2.0,2.0,0.315,0.381,0.464,0.037,141.2,-1.97,-1.97,-0.19
31,1.09,142.0,23.0,36.0,5.0,0.0,9.0,29.0,2.0,4.0,21.0,0.0,3.0,29.0,2.0,0.0,3.0,0.254,0.343,0.479,0.005,115.9,-0.48,-1.88,-0.181
32,0.86,297.0,28.0,80.0,15.0,5.0,3.0,27.0,2.0,1.0,13.0,0.0,0.0,36.0,9.0,2.0,2.0,0.269,0.298,0.384,-0.033,85.5,1.06,1.06,0.103
33,0.84,120.0,17.0,36.0,6.0,1.0,5.0,24.0,2.0,1.0,9.0,5.0,0.0,24.0,5.0,0.0,2.0,0.3,0.368,0.492,0.021,128.5,-0.04,-0.04,-0.004
34,0.77,235.0,34.0,55.0,12.0,1.0,3.0,27.0,7.0,3.0,32.0,5.0,0.0,27.0,2.0,5.0,1.0,0.234,0.337,0.332,-0.029,89.1,1.1,1.1,0.107
35,0.74,118.0,12.0,32.0,7.0,2.0,2.0,9.0,2.0,2.0,6.0,0.0,0.0,22.0,2.0,2.0,0.0,0.271,0.306,0.415,-0.018,98.0,-0.27,0.15,0.015
36,0.74,73.0,10.0,16.0,4.0,1.0,1.0,5.0,2.0,1.0,12.0,1.0,0.0,11.0,0.0,4.0,0.0,0.219,0.337,0.342,-0.021,95.1,2.54,2.54,0.246
37,0.71,274.0,29.0,69.0,14.0,2.0,4.0,38.0,12.0,6.0,15.0,2.0,0.0,15.0,5.0,7.0,1.0,0.252,0.295,0.361,-0.045,76.4,-2.97,-2.97,-0.287
38,0.62,242.0,32.0,65.0,6.0,1.0,8.0,40.0,3.0,4.0,20.0,3.0,1.0,46.0,5.0,0.0,4.0,0.269,0.327,0.401,-0.021,94.9,0.74,0.74,0.072
39,0.6,265.0,40.0,59.0,15.0,1.0,0.0,35.0,7.0,9.0,36.0,7.0,0.0,27.0,7.0,15.0,2.0,0.223,0.329,0.287,-0.044,77.6,0.0396679313268149,0.0341803406623057,0.003282569735617
40,0.59,109.0,21.0,32.0,4.0,0.0,4.0,26.0,3.0,2.0,19.0,2.0,0.0,15.0,3.0,0.0,2.0,0.294,0.402,0.44,0.036,140.6,-2.66,-2.66,-0.257
41,0.57,301.0,38.0,81.0,13.0,1.0,7.0,37.0,12.0,13.0,27.0,2.0,4.0,17.0,5.0,2.0,4.0,0.269,0.329,0.389,-0.022,94.1,-3.13,-3.13,-0.302
42,0.57,143.0,21.0,34.0,3.0,2.0,2.0,16.0,8.0,2.0,7.0,1.0,0.0,21.0,1.0,3.0,1.0,0.238,0.276,0.329,-0.066,59.8,-0.05,0.77,0.075
43,0.55,147.0,17.0,44.0,7.0,1.0,3.0,23.0,3.0,2.0,5.0,2.0,0.0,15.0,2.0,0.0,1.0,0.299,0.329,0.422,-0.009,104.7,-1.28,-1.28,-0.124
44,0.54,90.0,13.0,24.0,6.0,0.0,0.0,10.0,2.0,0.0,10.0,1.0,0.0,9.0,2.0,1.0,1.0,0.267,0.343,0.333,-0.019,97.2,-0.03,-0.03,-0.003
45,0.54,168.0,19.0,41.0,8.0,2.0,1.0,15.0,11.0,4.0,19.0,3.0,0.0,37.0,2.0,2.0,2.0,0.244,0.328,0.333,-0.032,86.5,0.96,0.96,0.093
46,0.53,103.0,10.0,28.0,2.0,0.0,1.0,14.0,6.0,3.0,11.0,3.0,0.0,8.0,2.0,8.0,0.0,0.272,0.359,0.32,-0.023,93.8,-1.24,-1.24,-0.12
47,0.47,261.0,46.0,68.0,14.0,2.0,7.0,51.0,8.0,2.0,22.0,2.0,0.0,34.0,8.0,2.0,2.0,0.261,0.321,0.41,-0.015,99.8,-0.09,-0.09,-0.009
48,0.47,51.0,7.0,14.0,1.0,1.0,0.0,3.0,8.0,2.0,5.0,1.0,0.0,9.0,0.0,0.0,1.0,0.275,0.345,0.333,-0.025,91.7,1.59,1.59,0.153
49,0.44,146.0,17.0,38.0,7.0,1.0,0.0,10.0,3.0,5.0,15.0,1.0,0.0,9.0,1.0,4.0,0.0,0.26,0.333,0.322,-0.028,89.6,0.46,0.46,0.044
50,0.39,77.0,12.0,22.0,4.0,0.0,1.0,8.0,2.0,0.0,8.0,0.0,0.0,15.0,2.0,0.0,0.0,0.286,0.353,0.377,0.001,113.2,-0.03,-0.03,-0.003
51,0.38,84.0,8.0,19.0,5.0,1.0,2.0,6.0,1.0,1.0,6.0,3.0,0.0,9.0,1.0,0.0,1.0,0.226,0.298,0.381,-0.049,73.4,-0.21,0.11,0.011
52,0.37,153.0,29.0,36.0,7.0,1.0,3.0,15.0,9.0,2.0,16.0,3.0,1.0,17.0,2.0,2.0,1.0,0.235,0.318,0.353,-0.04,80.4,-1.44,-1.44,-0.139
53,0.36,309.0,47.0,80.0,9.0,0.0,3.0,26.0,35.0,7.0,17.0,18.0,0.0,14.0,7.0,11.0,0.0,0.259,0.334,0.317,-0.049,73.6,-6.2,-6.2,-0.599
54,0.32,23.0,2.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.217,0.25,0.304,-0.087,42.3,0.0509435196638371,0.0292063823565002,0.0030792949814794
55,0.31,25.0,4.0,8.0,3.0,0.0,1.0,8.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.32,0.357,0.56,0.051,153.0,-0.08,-0.32,-0.031
56,0.3,217.0,20.0,53.0,6.0,2.0,3.0,28.0,2.0,2.0,18.0,0.0,2.0,16.0,6.0,2.0,1.0,0.244,0.301,0.332,-0.05,72.1,-0.68,-2.69,-0.26
57,0.2,145.0,14.0,41.0,1.0,2.0,0.0,17.0,16.0,7.0,6.0,3.0,0.0,19.0,2.0,3.0,0.0,0.283,0.325,0.317,-0.043,77.6,-0.05,-0.05,-0.005
58,0.18,117.0,12.0,23.0,3.0,0.0,4.0,13.0,0.0,2.0,14.0,1.0,0.0,28.0,0.0,3.0,1.0,0.197,0.286,0.325,-0.062,63.2,1.8,1.8,0.174
59,0.17,33.0,10.0,12.0,1.0,0.0,0.0,6.0,2.0,3.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.364,0.447,0.394,0.022,128.8,-0.27,-0.27,-0.026
60,0.17,82.0,5.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,1.0,0.0,8.0,1.0,1.0,0.0,0.207,0.301,0.207,-0.082,46.6,0.19,0.53,0.051
61,0.15,32.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,11.0,1.0,0.0,0.0,0.156,0.27,0.156,-0.108,25.8,3.31,3.31,0.32
62,0.15,40.0,4.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,1.0,0.225,0.289,0.275,-0.069,58.6,1.37,1.37,0.133
63,0.1,106.0,7.0,23.0,4.0,1.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,13.0,2.0,1.0,0.0,0.217,0.272,0.274,-0.081,47.9,0.21,0.38,0.037
